2026-03-19 01:44:14 | INFO     | app | Starting JARVIS...
2026-03-19 01:44:14 | INFO     | agents.chatagent | Agent 'ChatAgent' initialized.
2026-03-19 01:44:36 | INFO     | app | Keyboard interrupt received.
2026-03-19 13:36:15 | INFO     | app | Starting JARVIS...
2026-03-19 13:36:15 | INFO     | agents.chatagent | Agent 'ChatAgent' initialized.
2026-03-19 13:36:30 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): What can you do for me
2026-03-19 13:38:01 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): my name is nitish kumar
2026-03-19 13:38:21 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): what what is my name and my job title
2026-03-19 13:41:19 | INFO     | app | Keyboard interrupt received.
2026-03-19 13:42:52 | INFO     | app | Starting JARVIS...
2026-03-19 13:42:52 | INFO     | agents.chatagent | Agent 'ChatAgent' initialized.
2026-03-19 13:43:01 | INFO     | app | Keyboard interrupt received.
2026-03-19 13:46:47 | INFO     | app | Starting JARVIS...
2026-03-19 13:46:47 | INFO     | agents.chatagent | Agent 'ChatAgent' initialized.
2026-03-19 13:47:07 | INFO     | app | Keyboard interrupt received.
2026-03-19 13:55:10 | INFO     | app | Starting JARVIS...
2026-03-19 13:55:10 | INFO     | agents.chatagent | Agent 'ChatAgent' initialized.
2026-03-19 13:55:12 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): hi
2026-03-19 13:55:36 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): what is my name
2026-03-19 13:55:48 | INFO     | app | Keyboard interrupt received.
2026-03-19 14:11:30 | INFO     | app | Starting JARVIS...
2026-03-19 14:11:30 | DEBUG    | knowledge.store | ChatSession initialized with 254 chars of system prompt.
2026-03-19 14:11:30 | INFO     | agents.chatagent | Agent 'ChatAgent' initialized.
2026-03-19 14:11:44 | INFO     | knowledge.store | 💾 Message stored: role=user, length=13
2026-03-19 14:11:44 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): Hello JARVIS!
2026-03-19 14:11:57 | INFO     | knowledge.store | 💾 Message stored: role=assistant, length=249
2026-03-19 14:12:04 | INFO     | app | Keyboard interrupt received.
2026-03-19 14:20:53 | INFO     | app | Starting JARVIS...
2026-03-19 14:20:53 | DEBUG    | knowledge.store | ChatSession initialized with 254 chars of system prompt.
2026-03-19 14:20:53 | INFO     | agents.chatagent | Agent 'ChatAgent' initialized.
2026-03-19 14:20:57 | INFO     | knowledge.store | 💾 Message stored: role=user, length=2
2026-03-19 14:20:57 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): hi
2026-03-19 14:21:09 | INFO     | knowledge.store | 💾 Message stored: role=assistant, length=310
2026-03-19 14:21:18 | INFO     | knowledge.store | 💾 Message stored: role=user, length=15
2026-03-19 14:21:18 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): what id my name
2026-03-19 14:21:24 | INFO     | knowledge.store | 💾 Message stored: role=assistant, length=381
2026-03-19 14:21:29 | INFO     | knowledge.store | 💾 Message stored: role=user, length=23
2026-03-19 14:21:29 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): my name is nitish kumar
2026-03-19 14:21:36 | INFO     | knowledge.store | 💾 Message stored: role=assistant, length=455
2026-03-19 14:21:48 | INFO     | knowledge.store | 💾 Message stored: role=user, length=27
2026-03-19 14:21:48 | DEBUG    | core.chat | Sending request to Ollama (llama3:8b): now tell me what is my name
2026-03-19 14:21:52 | INFO     | knowledge.store | 💾 Message stored: role=assistant, length=250
2026-03-19 14:23:35 | INFO     | app | Keyboard interrupt received.
